Appointed by,Date appointed,Division,End of Term,Name,Party,Region
St. Laurent,1949-06-25,Huron-Perth,1961-12-31,William Henry Golding,Liberal,ON
Borden,1912-10-17,Nipissing,1942-02-03,George Gordon,Conservative,ON
Macdonald,1885-01-29,Barrie,1907-02-01,James Robert Gowan,Liberal-Conservative,ON
Trudeau,1984-01-13,Metro Toronto,2010-01-02,Jerry Grafstein,Liberal,ON
King,1926-12-20,Eganville,1943-01-01,George Perry Graham,Liberal,ON
Trudeau,1972-09-01,Niagara,1978-10-23,John James Greene,Liberal,ON
Diefenbaker,1962-09-24,Pickering,1981-12-13,Allister Grosart,Progressive Conservative,ON
Trudeau,1978-03-23,Toronto-Parkdale,1998-03-04,Stanley Haidasz,Liberal,ON
Royal Proclamation,1867-10-23,Kingston,1882-10-10,John Hamilton,Conservative,ON
King,1922-02-10,Leeds,1962-03-13,Arthur Charles Hardy,Liberal,ON
King,1940-02-09,Toronto,1983-11-01,Salter Hayden,Liberal,ON
King,1924-03-10,Ottawa,1932-11-10,Andrew Haydon,Liberal,ON
Bennett,1933-12-30,Toronto,1937-02-18,Horatio Clarence Hocken,Conservative,ON
MacKenzie,1877-01-03,Hamilton,1882-08-07,Adam Hope,Liberal,ON
King,1928-12-14,Prince Edward,1942-01-06,Henry Herbert Horsey,Liberal,ON
King,1945-06-09,Nipissing,1955-01-31,Raoul Hurtubise,Liberal,ON
Laurier,1906-03-08,Toronto,1914-12-16,Robert Jaffray,Liberal,ON
Laurier,1901-01-21,Toronto,1917-04-15,Lyman Melvin Jones,Liberal,ON
Mulroney,1990-09-23,Ontario,2005-10-02,James Kelleher,Conservative,ON
Trudeau,1982-12-23,Port Severn,2000-07-21,William McDonough Kelly,Progressive Conservative,ON
Meighen,1921-11-04,Toronto,1929-08-12,Albert Edward Kemp,Conservative,ON
Chr̩tien,2000-06-20,Ontario,2001-01-04,Betty Kennedy,Liberal,ON
Mulroney,1990-09-27,Ottawa,2010-05-17,Wilbert Keon,Conservative,ON
Laurier,1903-03-12,Toronto,1916-12-04,James Kirkpatrick Kerr,Liberal,ON
Laurier,1899-03-15,Northumberland,1906-11-22,William Kerr,Liberal,ON
Pearson,1967-04-06,Welland,1973-04-03,Mary Elizabeth Kinnear,Liberal,ON
Harper,2010-01-29,Ontario,2011-09-21,Vim Kochhar,Conservative,ON
King,1928-01-10,Essex,1953-01-18,Joseph-Henri-Gustave Lacasse,Liberal,ON
Pearson,1967-04-06,Windsor,1982-01-12,John Keith McBroom Laird,Liberal,ON
King,1938-01-20,Ottawa,1965-11-04,Norman Platt Lambert,Liberal,ON
Laurier,1901-02-16,Grey,1903-10-10,George Landerkin,Liberal,ON
Pearson,1964-02-14,South York,1994-06-13,Daniel Lang,Liberal,ON
Chr̩tien,2001-06-13,Ontario,2004-11-21,Laurier LaPierre,Liberal,ON
Royal Proclamation,1867-10-23,London,1891-05-14,Elijah Leonard,Liberal,ON
St. Laurent,1955-07-28,Toronto-Rosedale,1970-04-29,Thomas D'Arcy Leonard,Liberal,ON
King,1925-09-05,East Toronto,1935-05-18,John Lewis,Liberal,ON
King,1928-01-10,London,1943-12-22,Edgar Sydney Little,Liberal,ON
Borden,1917-01-20,Hamilton,1940-03-19,George Lynch-Staunton,Conservative,ON
Macdonald,1887-11-09,Ontario,1890-02-04,John Macdonald,Independent Liberal,ON
St. Laurent,1953-06-12,Brantford,1967-12-22,William Ross Macdonald,Liberal,ON
Borden,1917-08-01,Toronto South,1921-01-01,Angus Claude Macdonell,Conservative,ON
Meighen,1921-11-07,Toronto South,1939-11-12,Archibald Hayes Macdonell,Conservative,ON
Macdonald,1881-12-24,Burlington,1900-12-02,Donald MacInnes,Liberal-Conservative,ON
Royal Proclamation,1867-10-23,Saugeen,1896-08-16,David Lewis Macpherson,Conservative,ON
Pearson,1963-06-11,Ontario,1963-11-15,Duncan Kenneth MacTavish,Liberal,ON
Chr̩tien,1998-06-11,Toronto,2013-01-10,Frank Mahovlich,Liberal,ON
Chr̩tien,1998-06-11,Surprise Lake,1999-08-16,Marian Maloney,Liberal,ON
Trudeau,1984-01-24,Toronto-Taddle Creek,1992-08-31,Lorna Marsden,Liberal,ON
King,1938-01-20,Peel,1946-01-16,Duncan Marshall,Liberal,ON
Trudeau,1968-04-20,Windsor-Walkerville,1974-10-30,Paul Joseph James Martin,Liberal,ON
Borden,1913-05-26,Toronto,1918-07-16,James Mason,Conservative,ON
Royal Proclamation,1867-10-23,Ontario,1873-01-13,Roderick Matheson,Conservative,ON
Borden,1913-05-26,Simcoe,1925-06-10,Alexander McCall,Conservative,ON
Macdonald,1887-02-04,Monck,1903-01-13,Lachlin McCallum,Liberal-Conservative,ON
King,1922-01-04,Kent,1927-11-21,Archibald McCoig,Liberal,ON
Royal Proclamation,1867-10-23,Ontario,1871-01-05,Walter McCrea,Liberal,ON
Diefenbaker,1962-08-09,Gormley,1968-05-13,Malcolm Wallace McCutcheon,Progressive Conservative,ON
Royal Proclamation,1867-10-23,Ontario,1879-01-20,Donald McDonald,Liberal,ON
King,1926-12-20,East York,1957-10-31,William Henry McGuire,Liberal,ON
Laurier,1901-01-21,Victoria,1926-11-28,George McHugh,Liberal,ON
Trudeau,1972-04-27,Ottawa Valley,1983-07-29,George McIlraith,Liberal,ON
Macdonald,1884-01-11,Milton,1901-02-12,George Crawford McKindsey,Conservative,ON
Macdonald,1890-02-21,Perth,1919-05-23,Peter McLaren,Conservative,ON
Royal Proclamation,1867-10-23,Midland,1887-09-22,William McMaster,Liberal,ON
Macdonald,1884-01-11,Alexandria,1914-07-26,Donald McMillan,Conservative,ON
Laurier,1902-02-11,North Wellington,1913-03-18,James McMullen,Liberal,ON
Bennett,1932-03-03,St. Mary's,1942-01-16,Arthur Meighen,Conservative,ON
Mulroney,1990-09-27,St. Mary's,2012-02-06,Michael Meighen,Conservative,ON
Macdonald,1887-01-12,Hamburg,1908-08-11,Samuel Merner,Conservative,ON
Laurier,1896-11-13,Bothwell,1902-02-07,David Mills,Liberal,ON
Royal Proclamation,1867-10-23,Ontario,1874-01-24,Samuel Mills,Conservative,ON
Borden,1915-12-03,Hamilton,1922-03-04,John Milne,Conservative,ON
Chr̩tien,1995-09-22,Brampton (1995.09.22-1999.11.01) Peel County (1999.11.02-2009.12.13),2009-12-13,Lorna Milne,Liberal,ON
Laurier,1896-07-15,Ontario,1897-11-18,Oliver Mowat,Liberal,ON
Borden,1918-03-12,Port Hope,1927-10-01,Robert Alexander Mulholland,Conservative,ON
King,1930-03-20,Parkdale,1949-05-15,James Murdock,Liberal,ON
King,1925-09-05,Russell,1935-11-24,Terrence Murphy,Liberal,ON
Clark,1979-09-13,Pakenham,2011-09-26,Lowell Murray,Progressive Conservative,ON
Trudeau,1972-09-01,Peel,1995-09-09,Joan Neiman,Liberal,ON
Borden,1917-01-20,Toronto,1921-10-25,Frederic Thomas Nicholls,Conservative,ON
Macdonald,1880-05-19,Lambton,1886-10-29,Joseph Northwood,Liberal-Conservative,ON
Borden,1918-09-01,Renfrew,1925-09-01,Michael John O'Brien,Liberal,ON
King,1935-12-06,Scarborough Junction,1939-08-21,Frank Patrick O'Connor,Liberal,ON
Macdonald,1882-05-21,Erie,1902-12-07,John O'Donohoe,Liberal-Conservative,ON
